organization,job_position,job_code,location,summary,roles_responsibilities,required_skills,position,years_of_experience,contract_length,work_auth,certifications,benefits,pay_rate,reward_rate
Prime Healthcare,Computed Tomography (CT) Technician,10829|PH-HHC-3992,onsite,"['Department:  LANDMARK MEDICAL CENTER (LMC) - CT Scan', 'Shift timings: 2300-0730']","['Using computerized tomography equipment to capture diagnostic images of patients’ internal organs and tissues.', 'Appropriately positioning patients to scan specific areas of their bodies.', 'Performing regular warm-up sequences on the CT scanner to prolong the life of the X-ray tubes.', 'Sterilizing radiologic equipment to ensure the safety of patients.', ""Correctly interpreting doctors' written scanning instructions."", 'Administering radiocontrast agents to patients to enhance the visibility of internal organs and tissues.', 'Evaluating CT scans to determine whether they are of good technical quality.', 'Explaining scanning procedures to patients and providing reassurance and support as required.']","['CT Technologist RN', 'CT Technologist Traveler', 'CT technologist']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen",Certifications: Basic Life Support (BLS) Certification,"Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
8.19 /hr","Reward Rate:
USD
$
8.19 /hr"
Prime Healthcare,Radiology Technician,10828|PH-HHC-30877,onsite,"['Performs Diagnostic Radiographic, Cat Scan, Mammography, Bone Density, Ultra Sound or Special Procedures according to department protocols. Functions as the first line interface with customers and is successful in the accomplishment of their imaging needs. Participates in PI/ QC activities. Assists in Maintaining Performance Improvement Program.', 'Supervises Radiology staff in the absence. Maintains department supplies. Promotes teamwork and good customer service. Assists in annual evaluations and staff discipline. Does scheduling for assigned sub departments and maintains supplies and equipment for assigned sub department. Responsible for processing and transmission of Images to PACS.', 'Department: SHASTA REGIONAL MEDICAL CENTER (SRMC) - Cardiology', 'Shift timings: 0800-1730']","['Preparing examination rooms for patient examinations.', 'Administering radiopharmaceuticals to obtain clear, usable images.', ""Positioning patients and equipment, explaining the procedures, and ensuring patients' comfort."", 'Inserting commands and data into the computer to document and specify the scan sequences, and monitoring the video display to adjust the density or contrast.', 'Monitoring patients during examinations, ensuring their safety, and following procedures to prevent unnecessary exposure to radiation.', ""Producing diagnostic images, reporting important information to the Physician, and updating patients' records."", 'Organizing the daily procedure schedules for emergencies and monitoring radiographic supplies.', 'Performing administrative tasks, such as answering technical questions, scheduling appointments, and offering pre-procedure advice.', 'Performing scheduled maintenance and emergency repairs on radiographic equipment.']","['Travel Interventional Radiology Technician (IRT', 'Travel Radiology Tech', 'Travel Radiology Technician']",2 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: RADIOLOGIC HEALTH BRANCH (RHB) Certificate, Radiologic Technologist that has a California state license, American Registry of Radiologic Technologists (ARRT)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
8.60 /hr","Reward Rate:
USD
$
8.60 /hr"
Ascension Health,RN-Oncology,ASC-10165|AH-HHC-60440,onsite,"['Department: Oncology Unit', 'Shift Timings: Morning Shift 07:00 - 19:30 Hours ']","['Implement and monitors patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['RN Oncology', 'RN Registered Nurse Oncology', 'Travel RN Oncology']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Clinical practice improvement (CPI)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.22 /hr","Reward Rate:
USD
$
6.22 /hr"
Ascension Health,RN Medical / Surgical,ASC-7127|AH-HHC-97080,onsite,"['Department: Medical Surgical 7E', 'Shift timing: Night shift 18:45 - 07:15 hours ']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Registered Nurse > Registered Nurse Nursing', 'Travel RN', 'Travel Registered Nurse']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS), National Institute of Health (NIH), Clinical practice improvement (CPI)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.46 /hr","Reward Rate:
USD
$
6.46 /hr"
Ascension Health,RN-Orthopedics,ASC-4750 |AH-HHC-38208,onsite,"['Department: Orthopedics Unit', 'Shift Timings: Night Shift 18:30 - 07:00 Hours ']","['Implement and monitor patient care plans.', 'Monitor, record, and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care. ', 'Note and carry out physician and nursing orders. ', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team""]","['RN-Orthopedics', 'Traveler RN-Orthopedics']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, National Institutes of Health (NIH) , Clinical practice improvement (CPI)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.46 /hr","Reward Rate:
USD
$
6.46 /hr"
Ascension Health,RN Ortho,ASC-4750|AH-HHC-46345,onsite,"['Looking for self-motivated Registered Nurse with Orthopedic experience for Saint Thomas Midtown. Staffing Certification: Basic Life Support (BLS) Certification Successful completion of a proctored rhythm test', 'Department: Orthopedics Unit', 'Shift timing: 18:30 - 07:00']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Registered Nurse > Registered Nurse Nursing', 'Travel RN', 'Travel Registered Nurse']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen",Certifications: Basic Life Support (BLS),"Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.46 /hr","Reward Rate:
USD
$
6.46 /hr"
Ascension Health,RN Medical / Surgical,ASC-5890|AH-HHC-94411,onsite,"['Department: Med Surg 6E', 'Shift timing: Night shift 18:45 - 07:15 hours ']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Registered Nurse > Registered Nurse Nursing', 'Travel RN', 'Travel Registered Nurse']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS), National Institute of Health (NIH), Clinical practice improvement (CPI)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.46 /hr","Reward Rate:
USD
$
6.46 /hr"
Ascension Health,RN PACU,ASC-9221|AH-HHC-10365,onsite,"['BLS, ACLS; Rotating Shifts: 0600-1430 or 1100-1930 8 or 10 hour shifts; Call: based on department needs but usually 1-2 shifts during the week days and every 4th weekend, holidays as needed; Pre/post experience in surgical cases, IR and GI needed, EPIC experience required; may need to float to sites within 40 miles if needed', 'Department: Surgery Recovery Room', 'Shift Timings: 06:00 - 14:30']","[""Monitoring post-operative patients' levels of consciousness during recovery from anesthesia."", ""Measuring and recording patients' vital signs."", 'Closely observing patients for signs of side effects of anethesia medication.', 'Treating pain, nausea, and other post-operative symptoms of anesthesia.', 'Updating charts, patient files, and medical records.', 'Collaborating with the medical team on post-operative patient care and facilitating timely specialized interventions.', 'Providing comfort and reassurance to distressed post-operative patients and concerned family members.', 'Educating patients and their families on post-surgery care, as well as answering questions.']","['PACU RN', 'Registered Nurse PACU', 'Traveler Registered Nurse PACU']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
7.47 /hr","Reward Rate:
USD
$
7.47 /hr"
Ascension Health,Physical Therapist,ASC-8073|AH-HHC-3687,onsite,"['Department: SNF Therapy', 'Shift Timings: Morning shift 08:00 - 16:30 Hours ']","[""Perform initial and on-going assessments of patient's condition."", 'Establish, revise and evaluate a plan of care which is appropriate to problems identified and involve the patient/family.', 'Perform therapy interventions utilizing standard physical therapy techniques and skills as appropriate for the condition of the patient.', 'Oversee activities of physical therapy assistants, students and other support personnel.', 'PT with SNF experience needed Some holidays and one weekend a month']","['Physical Therapist', 'Traveler Physical Therapist']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen",Certifications: Clinical practice improvement (CPI),"Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
8.25 /hr","Reward Rate:
USD
$
8.25 /hr"
Ascension Health,RN Medical / Surgical,ASC-4749|AH-HHC-42369,onsite,"['Department: Orthopedics Unit', 'Shift timing: Early Morning shift 06:45 - 19:15 Hours ']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Registered Nurse > Registered Nurse Nursing', 'Travel RN', 'Travel Registered Nurse']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS), National Institute of Health (NIH), Clinical practice improvement (CPI)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.46 /hr","Reward Rate:
USD
$
6.46 /hr"
Ascension Health,RN Neurosurgery,ASC-5691|AH-HHC-33451,onsite,"['Department: Surgery', 'Shift Timings: 07:00 - 15:30']","['Implement and monitor patient care plans.', 'Monitor, record, and communicate patient condition as appropriate.', 'Serve as a coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders. ', ""Assess and coordinate patient's care needs with members of the healthcare team.""]","['Traveler RN Medical / Surgical', 'RN Medical / Surgical', 'RN Surgery']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen",Certifications: Basic Life Support (BLS) Certification,"Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
7.47 /hr","Reward Rate:
USD
$
7.47 /hr"
Ascension Health,CT Technologist,ASC-4796|AH-HHC-62080,onsite,"['Department: Computerized Tomography CT', 'Shift timings: Rotational shift. ']","['Using computerized tomography equipment to capture diagnostic images of patients’ internal organs and tissues.', 'Appropriately positioning patients to scan specific areas of their bodies.', 'Performing regular warm-up sequences on the CT scanner to prolong the life of the X-ray tubes.', 'Sterilizing radiologic equipment to ensure the safety of patients.', ""Correctly interpreting doctors' written scanning instructions."", 'Administering radiocontrast agents to patients to enhance the visibility of internal organs and tissues.', 'Evaluating CT scans to determine whether they are of good technical quality.', 'Explaining scanning procedures to patients and providing reassurance and support as required.']","['CT Technologist RN', 'CT Technologist Traveler', 'CT technologist']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen",Certifications: Basic Life Support (BLS) Certification,"Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
7.94 /hr","Reward Rate:
USD
$
7.94 /hr"
Ascension Health,RN Step Down Night,ASC-8796|AH-HHC-31202,onsite,"['Department: Stepdown Intermediate Care', 'Shift Timings: Night Shift 19:00 - 07:30 Hours']","['Implement and monitor patient care plans. Monitor, record, and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['RN Step Down', 'Travel RN', 'Traveler Step Down RN']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.69 /hr","Reward Rate:
USD
$
6.69 /hr"
Ascension Health,Cath Lab Technician,ASC-9270 |AH-HHC-53220,onsite,"['Department: Cardiac Cath Labs Anc', 'Shift timings: Early Morning Shift 06:30 - 17:00  Hours ']","['Under the general direction of the physician (Cardiologist/Radiologist), will assist by scrubbing procedures or monitoring physiologic and hemodynamic data, as related to diagnostic and/or therapeutic procedures performed in the cardiovascular lab.', 'Ensures procedure room is adequately prepared for the procedure.', 'Monitors par level of all instruments and supplies.', 'Participates in departmental staff meetings and performance improvement activities and the training of new staff. Assists in all aspects of invasive and noninvasive cardiac procedures.']","['RN Cath Lab Technician', 'Traveler Cath Lab Technician']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen",Certifications: Basic Life Support (BLS) Certification,"Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
7.47 /hr","Reward Rate:
USD
$
7.47 /hr"
Ascension Health,RN-Medical/Surgical,ASC-8414|AH-HHC-57806,onsite,"['Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', 'Department: Observation Unit', 'Shift Timing: 06:45 - 19:15']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Traveler RN Medical / Surgical', 'RN Medical / Surgical', 'Registered Nurse > Registered Nurse Nursing']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Licensed Registered Nurse credentialed from the Tennessee Board of Nursing required","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.46 /hr","Reward Rate:
USD
$
6.46 /hr"
Trinity Health,Radiologic Technologist,44814 |TH-HHC-37742,onsite,"['The Radiology Technologist is responsible to review the Physician Order and reason for exam, position, and image of patients. The Radiology Technologist works closely with the Radiology leadership and the Radiologist to produce the highest quality diagnostic images possible in accordance with the department protocols. Operates diagnostic imaging equipment to obtain routine radiographs of designated body portions for interpretation by physicians. Assists radiologist in the administration of contrast media required in specific diagnostic procedures. Performs a variety of technical procedures requiring independent judgment, with integrity and initiative.']","['Reviews requests for procedures, using reason(s) for the procedures, department protocols, physician recommendations and personal judgment to determine region(s) to be examined and diagnostic images to be obtained.', 'Prepares patients for diagnostic procedures by explaining the procedure, transferring and positioning patients, attaching or arranging immobilization and support devices, instructing and reassuring patients, using care, courtesy and tact.', 'Assists the Radiologist in performance of routine radiographs, adjusts, manipulates and controls a variety of imaging equipment, and accessories used in performing diagnostic procedures.', ""Monitors patient's condition before and during performance of diagnostic procedures, recognizing changes that may require emergency actions and initiating appropriate responses."", 'Documents procedure verification and procedural, using a computerized system, and determines need for and performs necessary re-imaging.', 'Collects all completed diagnostic PACS images and forwards to appropriate location(s) for interpretation and results reporting.', 'Practices sterile, isolation and aseptic techniques to prevent contamination, and maintains documentation of infection control procedures and activities.', 'Monitors quality control on a daily basis; reports operational and functional equipment problems to appropriate personnel.', 'Maintains good rapport and cooperative relationships.', 'Maintains the confidentiality of information acquired pertaining to patient, physicians, employees, and visitors to St. Joseph Mercy Health System.', 'Provides quality patient care by considering the age specific, developmental and cultural needs through competent clinical practice.', 'Additional duties as assigned by the hiring manager/supervisor.']",,1 Available Positions,3-7 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen",,"Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.88 /hr","Reward Rate:
USD
$
6.88 /hr"
Trinity Health,Telemetry RN,44878|TH-HHC-40312,onsite,"['Unit Description - 7 South is a 36-room cardiac/telemetry floor.', 'Their focus is congestive heart failure and other comorbidities. One unique thing about the unit is the fact they are the only acute care floor trained to care for patients with a left ventricular assist device (LVAD).', 'They also see patients before and after procedures in the cath lab, with cardiac IV medications, severe arrhythmias, and cardio-renal syndrome.']","['Their focus is congestive heart failure and other comorbidities.', 'One unique thing about the unit is the fact they are the only acute care floor trained to care for patients with a left ventricular assist device (LVAD).', 'They also see patients before and after procedures in the cath lab, with cardiac IV medications, severe arrhythmias, and cardio-renal syndrome.']",,1 Available Positions,3-7 years Experience Required,2 months Term,"Work Auth: Green Card, US Citizen",,"Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.88 /hr","Reward Rate:
USD
$
6.88 /hr"
Ascension Health,RN Cath Lab,ASC-9271|AH-HHC-50207,onsite,"['BLS, ACLS; Varying start and end times ranging from 0600-1700; Call: depends on dept needs - usually an average of 1 weekday from 1700-0700 and one weekend per month 1700 Friday through 0700 Monday, Possible Holiday coverage based on department needs; 2-5 years experience working in a Cardiac Cath Lab, Critical Care Experience preferred. Ability to cover 2 sites of care (CSMM & CSMO), at times in the same day; may need to float to sites within 40 miles if needed', 'Department: Cardiac Cath Labs Anc', 'Shift Timing: 06:00 - 17:00']","['Assess, prepare and position patients for procedures.', 'Perform conscious sedation and hemodynamic monitoring as necessary.', 'Prepare, implement and document plan of care.', ""Communicate patient's condition to physician before, during and after procedures."", 'Perform and/or facilitate diagnostic, therapeutic and interventional procedures.', 'Perform set up and provide equipment and supplies before, during and after procedures.']","['Cath Lab', 'Registered Nurse Cath Lab', 'Traveler Registered Nurse Cath Lab']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS) Certification","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
7.47 /hr","Reward Rate:
USD
$
7.47 /hr"
Ascension Health,RN-CVICU,ASC-10015|AH-HHC-44983,onsite,"['Department: Nurse Staffing', 'Shift Timings : Night Shift 19:00 - 07:30 Hours ']","['EOW, Holidays: Yes', 'CVICU & Neuro experience preferred but not required - will float to Neuro ICU and Burn ICU - will be given patients within skill set; may be given patient assignments that are Med/Surg/IMC if needed', 'May need to float to other sites within 40 mile radius']","['RN-CVICU', 'Traveler RN-CVICU']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiac Life Support (ACLS) Certification, National Institutes of Health (NIH)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
7.47 /hr","Reward Rate:
USD
$
7.47 /hr"
