organization,est_earnings,job_position,jobpost_id,level,reports_to,vacant_since,vacancies,travel_required,visa_support,report_to_location,country,city,state,postal_code,currency,minimum_salary,maximum_salary,signing_bonus,bonus_description,relocation_package,job_description,company_culture,benefits,must_have
SageWest Health Care,"$12,599",Medical Technologist,46gt31oq8pxl,Mid-Level,Laboratory Director,Less than 30 days,2,Travel not required,No visa sponsorships supported,"Yes, they must report in-person to a specific location",United States of America,LANDER,WY,82520,$ USD,"$55,994.00","$83,990.00",Yes,Partial,Bachelors Degree or Equilvalent ,"Under the supervision of the Medical Director and/or Laboratory Manager, performs phlebotomy and clinical tests in the areas of hematology, urinalysis, general clinical microscopy, blood banking, serology, bacteriology, coagulation, chemistry, arterial blood gases, and special chemistry to obtain data for use in diagnosis and treatment of disease.
Care of the Environment
Recognizes unsafe acts or conditions as defined by SageWest Health Care’s Policies and Procedures and takes immediate action to correct these acts or conditions.
Age Specific Competency
Knowledge (through training) or experience and demonstrated competency in delivering care across the life span of Neonate Newborn (<30 days), infants (<1 year), early childhood (1 year and <5 years), late childhood (5 years and <13 years), adolescent (13 and <17 years), young adult (17 to <30 years), middle adult (30 years to <60 years), older adult (>60 years).
Minimum Education
Minimum of Bachelor's Degree or equivalent (in semester hours) in biology, chemistry, physical science or medical terminology AND laboratory training from an accredited program (may be part of the 60 semester hours toward a degree) or 3 months documented laboratory training in the specialties the individual performs testing.
Currently registered with the American Society of Clinical Pathologists, (ASCP) and/or CLS Registry with National Certification Agency for Medical Laboratory Personnel, Inc. and/or (NCA) or American Medical Technologists (AMT) and/or have proof of certification from the Department of Health Education and Welfare (HEW). If new graduate, must obtain within one year of hire.
Required Skills
Current BLS certification through American Heart Association","https://vimeo.com/801302051

Our Vision & Mission
Our vision is to serve our communities’ evolving healthcare needs by cultivating a network of compassionate, dedicated professionals. We are committed to working together, using best practices, improving quality, and assuring an exceptional patient experience.

The mission of SageWest Health Care is to make our communities healthier. In order to achieve this, we are committed to five core values:

Delivering high-quality patient care
Our highest priority is caring for people - the friends, family and neighbors whom we serve in our community.

Creating excellent workplaces for our employees
We are committed to providing an environment based on respect and one which encourages personal and profession growth.

Supporting physicians
We support our physicians' practices by providing an innovative facility, advanced technology, and a well trained, organized clinical staff.

Providing community value
We are a vital resource for our community and because we take pride in our community, we are actively involved in supporting local, civic, and charitable organizations.

Ensuring fiscal responsibility
Our Vision & Mission
Our vision is to serve our communities’ evolving healthcare needs by cultivating a network of compassionate, dedicated professionals. We are committed to working together, using best practices, improving quality, and assuring an exceptional patient experience.

The mission of SageWest Health Care is to make our communities healthier. In order to achieve this, we are committed to five core values:

Delivering high-quality patient care
Our highest priority is caring for people - the friends, family and neighbors whom we serve in our community.

Creating excellent workplaces for our employees
We are committed to providing an environment based on respect and one which encourages personal and profession growth.

Supporting physicians
We support our physicians' practices by providing an innovative facility, advanced technology, and a well trained, organized clinical staff.

Providing community value
We are a vital resource for our community and because we take pride in our community, we are actively involved in supporting local, civic, and charitable organizations.

Ensuring fiscal responsibility",DENTAL INSURANCE MEDICAL INSURANCE VISION INSURANCE LIFE INSURANCE RETIREMENT PAID TIME OFF,"1
Bachelors Degree or Equilvalent 
2
ASCP or CLS Registry 
3
NCA or AMT
4
Current BLS certification through American Heart Association "
Watertown Regional Medical Center,"$13,770",RN EMERGECNY DEPARTMENT FULL TIME NIGHTS,fd8ebzmy7j1n,Mid-Level,NURSE LEADER,Less than 30 days,2,Travel not required,No visa sponsorships supported,"Yes, they must report in-person to a specific location",United States of America,Watertown,WI,53098,$ USD,"$68,000.00","$85,000.00",Yes,Partial,Associates of Science Degree in Nursing,"$20,000 Sign On Bonus with a two year agreement, paid out in a lump sum within 60 days of start!

Watertown Regional Medical Center is seeking a Registered Nurse for the Emergency Department. Join our team of experienced RN’s, providers, and tech's who work seamlessly to provide exceptional care to our patients. We believe there is a better way to provide healthcare, where nurses enjoy meaningful work and where patient-centered teams transform lives for the better.  Our Emergency Department is a state of the art, 16-bed unit and Chest Pain Center Accredited. 

Hours
12- hour, Night shift, 7:00 p.m. – 7:30 a.m.; including every third weekend
Fulltime position, (0.9 FTE): 72 hours/per pay period

There is a PM shift differential of $2.50/hr and a NOC shift differential of $3.50/hr. Weekend shifts earn an additional $2.50/hr. 

Watertown Regional Medical Center offers a great work environment, competitive pay and benefits including:


Health Insurance
Dental Insurance Vision Insurance
Health Savings Account (HSA)
Healthcare Flexible Spending
Limited Purpose Flexible Spending
Dependent Care
Flexible Spending
Employee Paid Short-Term Disability
Employer Paid Long-Term Disability
Employer Paid Life Insurance and AD&D
401K
PTO
Tuition Reimbursement & Loan Forgiveness
EAP – Employee Assistance Program
Wellness Program
On-site Fitness Center
RethinkCare
Virta
Voluntary Benefits


Hospital Indemnity Insurance
Accident Insurance
Critical Illness Insurance
Identity Protection
Legal Services Plan
Auto & Home Insurance
Pet Insurance

Watertown is a town of 24,000 people, halfway between Madison and Milwaukee, with the Rock Rock River coursing through its historic downtown. Watertown is an ideal and idyllic location for companies and people looking for a place where family and fellowship still matter. The city, set in both Dodge and Jefferson Counties, is where residents cherish history and tradition, but also see a community full of opportunity and possibilities. Watertown citizens know the value of a good education, the pride that comes from an honest day’s work and the importance of a strong foundation guided by a moral compass.
Watertown's residents enjoy an enriched quality of life which includes safe neighborhoods, affordable housing, both public and private schools, and easy access to local and regional cultural events.
Watertown is a city flowing with potential, offering the perfect bridge between nostalgia and modern convenience.","Our Emergency Department team of nurses is dedicated to providing an excellent work culture - at Watertown Regional  you will find a supportive team that is dedicated to working together to provide excellent care!

Visit to learn more about the city and community we support : https://www.watertownchamber.com/living-here/city-of-watertown/",DENTAL INSURANCE MEDICAL INSURANCE VISION INSURANCE LIFE INSURANCE RETIREMENT PAID TIME OFF,"1
Associates of Science Degree in Nursing
2
Current Wisconsin Registered Nurse licensure
3
Current ACLS certification for HealthCare Providers or within 6 months of hire
4
Current PALS certification for Healthcare Providers or within 1 year of hire"
Memorial Hermann Health System,"$14,850","Sr. Mammography Technologist  - Memorial City Breast Center
$10k sign on bonus offered",e6tblh0a214v,Mid-Level,Manager,More than 30 days,1,Travel not required,No visa sponsorships supported,"Yes, they must report in-person to a specific location",United States of America,Houston,TX,77024,$ USD,"$70,000.00","$95,000.00",Yes,$10k Sign on bonus offered,None,"Minimum Qualifications
Education: Graduate of an accredited school of radiologic technology; Graduate of an approved program of mammography technology
Licenses/Certifications: 

Certified in Basic or Advanced Life Support
Current license or temporary license by the Texas Medical Board (MRT), required
Registered Radiology Technologist by the American Registry of Radiologic Technologists (ARRT-R)
Registered Mammography Technologist by the American Registry of Radiologic Technologists (ARRT-M)
Experience/ Knowledge/ Skills: 

*4 years of prior experience as an Mammography Technologist required

Demonstrates ability to perform quality control and stereotactic exams
Ability to lift and/or maneuver patients in conjunction with others in order to perform job functions
Demonstrates commitment to the Partners-in-Caring process by integrating our culture in all internal and external customer interactions; delivers on our brand promise of “we advance health” through innovation, accountability, empowerment, collaboration, compassion and results while ensuring one Memorial Hermann.
Principal Accountabilities


Performs mammography radiographic exams on patients ensuring compliance with all radiation safety procedures: Prepares patients for exam, explains procedure, administers contrast when necessary, positions patients for the exam, selects appropriate imaging techniques, and ensures technical quality of the images.
Helps maintain appropriate patient flow and ensures delivery of quality services in the imaging department.
Demonstrates excellent technical skills. Acts as a resource and mentor to staff and less experienced technologists. Introduces and demonstrates new techniques to the other technologists.
Reviews incomplete exam list and unsigned report status routinely.
Functions as a liaison between physicians, technologists and department support staff.
Enters and monitors patient data and health history as its pertinent to the exam being performed.
Performs quality assurance on mammography equipment. Recommends equipment modifications. Identifies and helps to resolve equipment malfunctions. Completes initial and renewal application for ACR and any other accreditation.
Maintains safety, environmental, and infection control procedures for the department.
Helps schedule technologists to ensure appropriate staffing for expected patient volume.
Intervenes with patients to help resolve complaints and issues.
Responsible for supply management.
Takes emergency call within the department.    
Ensures safe care to patients, staff and visitors; adheres to all Memorial Hermann policies, procedures, and standards within budgetary specifications including time management, supply management, productivity and quality of service.
Promotes individual professional growth and development by meeting requirements for mandatory/continuing education and skills competency; supports department-based goals which contribute to the success of the organization; serves as preceptor, mentor and resource to less experienced staff.
Other duties as assigned.","Our Culture:
What does it mean to truly connect with a patient? You’ll find out as part of the Memorial Hermann Health System. Here, you’ll have the unique opportunity to utilize the latest technical advances in medicine while also benefiting from our insights into the human aspects of care. You’ll serve each patient as an individual, and you’ll help develop their own personalized plan of care.
  Every day, you’ll be empowered to do what’s best for them while also advancing your own skills. If you want to explore a change in your career, we encourage it. In fact, we celebrate it. Your mentors will guide your growth, your co-workers will encourage your success and your career will be built the way you want. We invite you to follow your dreams and lead with compassionate care.",DENTAL INSURANCE MEDICAL INSURANCE VISION INSURANCE LIFE INSURANCE RETIREMENT PAID TIME OFF OTHER,"1
Licensed by Texas Medical Board
2
ARRT-R Registered
3
ARRT-M Registered
4
4 years Minimum experience"
Memorial Medical Center - Las Cruces,"$9,900",Medical Lab Scientist,c6w2nvtuabl4,Junior,Director - Lab,Less than 30 days,1,Travel not required,No visa sponsorships supported,"Yes, they must report in-person to a specific location",United States of America,Las Cruces,NM,88011,$ USD,"$50,000.00","$60,000.00",Yes,Relocation assistance up to $10k,Partial,"The Medical Lab Scientist (Med Tech) performs diagnostic testing on patient samples to aid physicians in the diagnosis and/or monitoring of various disease states.

Minimum Education:  Must possess a Bachelor's degree in Medical Laboratory Science.
  Minimum Experience:  2 years working in acute care facility.
  Licensure:  Med Tech ASCP or equivalent 
  This is a full-time position.  ","Memorial Medical Center is an acute care facility in Las Cruces, NM",DENTAL INSURANCE MEDICAL INSURANCE VISION INSURANCE LIFE INSURANCE RETIREMENT PAID TIME OFF,"1
Must possess a Bachelor's degree in Medical Laboratory Science
2
Med Tech ASCP or equivalent certification
3
2 years working in acute care facility."
Memorial Hermann Health System,"$24,750",Clinical Manager - ICU & CVICU - Memorial Hermann Southeast,3ub1lpknedaq,Senior,Director,More than 30 days,1,Travel not required,No visa sponsorships supported,"Yes, they must report in-person to a specific location",United States of America,Houston,TX,77089,$ USD,"$110,000.00","$165,000.00",No,No Sign On Bonus; Managers participate in annual incentive plan,Full,"This position is responsible for providing leadership to the department. Oversees daily operations, manages and develops departmental staff, collaborates with the interdisciplinary team in the delivery of patient care. Utilizes the nursing process to ensure the delivery of quality care to patients.

Minimum Qualifications
Education: 

Bachelor of Science in Nursing degree from an accredited school of professional nursing required or documented degree plan and timeframe to complete Bachelor of Science in Nursing (BSN)
For clinical manager positions in Magnet-designated hospitals or hospitals in pursuit of Magnet designation, a minimum of a BSN is required at the time of hire or promotion
Licenses/Certifications:

Current State of Texas license or temporary/compact license to practice professional nursing
Certified in Basic Life Support
Professional certification in clinical area or management preferred
Additional certifications may be required based on discipline and/or nursing unit requirements
Experience / Knowledge / Skills:

Three (3) or more years experience in clinical area of practice; and
Minimum of one (1) year experience in a supervisory or management role
Clinical Manager II:  additional two (2) years experience (3 years total) in supervisory or management job
Demonstrates commitment to the Partners-in-Caring process by integrating our culture in all internal and external customer interactions; delivers on our brand promise of “we advance health” through innovation, accountability, empowerment, collaboration, compassion and results while ensuring one Memorial Hermann.
Principal Accountabilities

Manages the daily operations of a patient care department, including forecasting and ensuring adequate staffing, taking departmental calls, planning for continuity of care, serving in charge nurse role and providing direct patient care as needed.
Collaborates with physicians, management team members, business partners, and customers to address strategic initiatives and organizational goals.
Participates in a systemic, interdisciplinary, and ongoing evaluation of programs, process improvement, desired client-centered outcomes, and organizational outcomes.
Considers the diverse needs of each patient through the entire continuum of care, provides and ensures the highest level of service according to established service standards and optimizes the patient experience.
Ensures adequate scheduling and staffing, recruits, retains, and develops staff, provides performance feedback, addresses issues as necessary, and provides input into staff performance reviews in a timely effective manner.
Adheres to all regulatory and Texas Board of Nursing standards.
Ensures safe care to patients, staffs and visitors; adheres to all Memorial Hermann policies, procedures, and standards within budgetary specifications including time management, supply management, productivity and quality of service.
Promotes individual professional growth and development by meeting requirements for mandatory/continuing education and skills competency; supports department-based goals which contribute to the success of the organization; may serve as preceptor, mentor and resource to less experienced staff.
Other duties as assigned.


Specific attributes to the campus/role:
Campus is a Level III trauma designation
CVICU - 6 beds - about 20 FTEs
ICU - 24 beds - about 80 FTEs - ICU accepts everything except 'brains & burns'
Position will have the support of an Assistant Nurse Manager for common administrative tasks","What does it mean to truly connect with a patient? You’ll find out as part of the Memorial Hermann Health System. Here, you’ll have the unique opportunity to utilize the latest technical advances in medicine while also benefiting from our insights into the human aspects of care. You’ll serve each patient as an individual, and you’ll help develop their own personalized plan of care.
Every day, you’ll be empowered to do what’s best for them while also advancing your own skills. If you want to explore a change in your career, we encourage it. In fact, we celebrate it. Your mentors will guide your growth, your co-workers will encourage your success and your career will be built the way you want. We invite you to follow your dreams and lead with compassionate care.

The Houston Chronicle named us a Top Workplace for the 10th consecutive year. They partnered with Energage to gather survey responses from employees, and ranked companies based on criteria ranging from company values and culture, to leadership and benefits.
We rated highly based on our values and the meaningful work we do. We’re honored to receive this recognition and inspired to do more for our people.",DENTAL INSURANCE MEDICAL INSURANCE VISION INSURANCE LIFE INSURANCE RETIREMENT EQUITY PAID TIME OFF OTHER,"1
Clean, up-to-date TX or compact nursing licensure
2
Bachelor's of Nursing degree
3
Minimum of 5 years of total working, nursing experience in ACUTE CARE setting (preferably in critical care areas) 
4
Minimum of 2 years of Manger/leadership experience in ACUTE CARE setting (preceptor, Coordinator, Educator experience WILL NOT count; preferably in critical care areas)) 
5
Solid working tenure "
Memorial Medical Center - Las Cruces,"$9,695",Advanced Respiratory Therapist - Respiratory Therapy,yu9dal42r6oh,Junior,Director,More than 30 days,3,Travel not required,Some visa sponsorships supported,"Yes, they must report in-person to a specific location",United States of America,Las Cruces,NM,88011,$ USD,"$43,971.00","$63,752.00",Negotiable,Relocation is negotiable ,Partial,Examines patients with breathing-related conditions and conducts diagnostic testing. Consults with physicians to develop and implement a treatment plan for the patient. Performs physiotherapy and other treatments and teaches patients to use medications.,"Memorial Medical Center (MMC) is a LifePoint Acute Care 199-bed medical/surgical teaching hospital located in sunny Las Cruces, New Mexico with a population of 110,000 and a service area population of 300,000. Las Cruces offers a multitude of outdoor adventures, unique culinary experiences, vibrant heritage and culture, top-rated farmers markets and beautiful views of the Organ Mountains. The city is known for its safe and affordable living conditions, beautiful scenery, outstanding educational system, friendly people and high-quality health care. It is just 40 minutes from El Paso (metro population of 800,000), and El Paso International Airport with connections to worldwide destinations. For education, Las Cruces is the home of New Mexico State University, the Burrell College of Osteopathic Medicine, Doña Ana Community College, and outstanding K-12 schools.
Memorial Medical Center’s mission of “Making Communities Healthier” allows every team member to focus on the exceptional care we provide our families, friends, and neighbors. At Memorial Medical Center we strive to create places where people choose to come for healthcare, physicians want to practice and employees want to work. Our focus in these areas is evident daily as we deliver high quality patient care, support our physicians, create excellent workplaces for our employees and take leadership roles our community all while maintaining fiscal responsibility. 
  At Memorial, we are proved to have been voted Best Hospital and Best Place to Work! ",DENTAL INSURANCE MEDICAL INSURANCE VISION INSURANCE LIFE INSURANCE RETIREMENT PAID TIME OFF,"1
Minimum Education:  Graduate of a Respiratory Therapy program approved by the NBRC.
2
Must be registered with NBRC (RRT).
3
Must be currently (or eligible) licensed by the State of NM as a Respiratory Care Practitioner. 
4
Neonatal Resuscitation Provider (NRP).  Basic Life Support (BLS) "
Memorial Hermann Health System,"$16,200","MRI Tech The Woodlands (12 hour nights including every other weekend) $5,000 Sign on Bonus!",7rq4wefcspb1,Mid-Level,Manager,This is a newly opened position,1,Travel not required,No visa sponsorships supported,"Yes, they must report in-person to a specific location",United States of America,The Woodlands,TX,77380,$ USD,"$80,000.00","$100,000.00",Yes,"$5,000",None,"Memorial Hermann The Woodlands Hospital
MRI Technologist
Full-time Nights
12 hour shifts
every other weekend requured (matrix schedule)
*NO CALL REQUIRED*

This position performs Magnetic Resonance Imaging (MRI) procedures to create three dimensional images of tissue, organs and other body parts that are used by radiologists to detect abnormalities, make diagnoses and treat patients.



Performs MRI procedures on patients: Prepares patients for MRI exam, explains procedure, administers contrast when necessary, positions patients for the MRI scanner, selects appropriate imaging techniques, and ensures technical quality of the scan 
Enters and monitors patient data
Performs quality assurance on magnetic resonance equipment and matrix camera. May assist with initial and renewal application for ACR and other accreditation.
Identifies and reports any accidents, complaints or equipment malfunction to department management
Takes emergency call within the department.    
Ensures safe care to patients, staff and visitors; adheres to all Memorial Hermann policies, procedures, and standards within budgetary specifications including time management, supply management, productivity and quality of service
Promotes individual professional growth and development by meeting requirements for mandatory/continuing education and skills competency; supports department-based goals which contribute to the success of the organization; serves as preceptor, mentor and resource to less experienced","What does it mean to truly connect with a patient? You’ll find out as part of the Memorial Hermann Health System. Here, you’ll have the unique opportunity to utilize the latest technical advances in medicine while also benefiting from our insights into the human aspects of care. You’ll serve each patient as an individual, and you’ll help develop their own personalized plan of care.
Every day, you’ll be empowered to do what’s best for them while also advancing your own skills. If you want to explore a change in your career, we encourage it. In fact, we celebrate it. Your mentors will guide your growth, your co-workers will encourage your success and your career will be built the way you want. We invite you to follow your dreams and lead with compassionate care.

The Houston Chronicle named us a Top Workplace for the 10th consecutive year. They partnered with Energage to gather survey responses from employees, and ranked companies based on criteria ranging from company values and culture, to leadership and benefits.
We rated highly based on our values and the meaningful work we do. We’re honored to receive this recognition and inspired to do more for our people.",DENTAL INSURANCE MEDICAL INSURANCE VISION INSURANCE LIFE INSURANCE RETIREMENT EQUITY PAID TIME OFF OTHER,"1
Must be willing to work night shift (7p-7a) and every other weekend
2
Must have 6 months of hospital experience
3
 Registered MRI Technologist by ARRT-MR; OR 
4
Registered Radiological Technologist by the  (ARRT-R) and Registered MRI Technologist by the  (ARMRIT)
5
Certified in Basic or Advanced Life Support"
Paris Regional Medical Center,"$20,790",Clinical Staff Pharmacist 7 on 7 off Over Night Shift,kub0n836x1dp,Mid-Level,Director Pharmacy,Less than 30 days,1,Travel not required,Some visa sponsorships supported,"Yes, they must report in-person to a specific location",United States of America,Paris,TX,75462,$ USD,"$104,000.00","$127,000.00",Yes,"Shift Diffs Include $3.50 evenings, $4.00 Nights, $3.50 weekends",Full,"Job Summary: Perform medication order review, verification, and dispensing. Execute medication reconciliation, clinical consults and per protocol pharmacy medication management processes. Perform chart reviews, and serve as liaison between pharmacy and other disciplines, including physicians. Assist pharmacy director in implementing process improvement. Assist with adverse event and medication error monitoring and medication safety measures. Depending on staffing needs, may work as part of the interdisciplinary team in a decentralized unit-based model and participate in multi-disciplinary rounds.
  Adheres to all hospital and department policies and procedures. Interprets physician prescriptions and medication orders. Acts as a drug information resource to patients, medical staff, nursing staff and ancillary department personnel. Compounds and dispenses prescribed medications and other pharmaceuticals for patient care by performing the related duties. Responsible for coordinating clinical pharmacy services and supporting each pharmacy in the provision of optimal clinical services for all patients, including neonatal, pediatric, adult, and geriatric patients. Facilitates the development, implementation, and maintenance of programs and systems that promote desirable patient outcomes through the use of safe, cost-effective drug therapies Responsible for inspection and monitoring functions to encompass all units in the hospital, including refrigerator logs, nursing unit readiness, automated dispensing machine performance, and regulatory compliance. Performs other duties as assigned.","·     Paris Regional Medical Center's mission is to make communities healthier. 
·     We want to create places where: people choose to come for healthcare, physicians want to practice, and employees want to work.
·     We enjoy our small-town living.
·     Cost of living is lower.
·     Less traffic congestion that bigger more populated cities.
·     Still within about 90 miles of Dallas.
·     Click Here to check out our visitors guide to see more the fun things Paris has to offer.",DENTAL INSURANCE MEDICAL INSURANCE VISION INSURANCE LIFE INSURANCE RETIREMENT PAID TIME OFF,"1
Current Pharmacist certification or licensure in the State of Texas 
2
Doctorate of Pharmacy degree 
3
Graduated from an accredited School of Pharmacy, PharmD preferred.
4
Education in all age groups ranging from newborn to the geriatric population obtained either in school education or subsequent training.
5
IV certification within 90 days of hire"
St. Joseph Regional Medical Center,"$13,460",Registered Respiratory Therapist (RRT) - NIGHT SHIFT (7pm - 7am),sza7gqu6m8ve,Mid-Level,Respiratory Therapy Director,More than 30 days,3,Travel not required,No visa sponsorships supported,"Yes, they must report in-person to a specific location",United States of America,Lewiston,ID,83501,$ USD,"$64,480.00","$85,072.00",Yes,"$15,000 Sign-On; Relocation Assistance is negotiable based on location",Partial,"**$15,000 Sign-on Bonus & Relocation Assistance Available**

Current Openings are for Nightshift (7pm - 7am) ONLY

At. St. Joseph Regional Medical Center (ScionHealth), we recognize that our patients deserve qualified, engaged, and competent healthcare professionals. And we know that our healthcare professionals deserve a working environment that is safe, leaders who are visible and supportive, and opportunities to grow and develop in their chosen disciplines. The heart of St. Joe’s is in its people, making our hospital a family that only the best is invited to join. If you feel that your skills and compassion fit with our vision for healthcare, we invite you to apply today.

PRIMARY (ESSENTIAL) DUTIES 


Provide respiratory therapy (conventional/routine) to all patients of all age groups, infants to adults, as ordered. Explains purpose and procedure of treatments, tests, and equipment to patients.
Receive assignment. Check patient chart and physician's orders. Set up equipment and medications and administer treatments as ordered, e.g., oxygen administration, humidity therapy, airway management, resuscitation, mechanical ventilation, postural drainage procedures; closed atmosphere and respiratory monitoring, intermittent positive pressure breathing, aerosol therapy, and pharmacology respiratory therapy. Chart treatment, response, and progress.
Monitor environmental control systems, others. Deliver and set up equipment and monitor patients on continuous ventilation. Do nasotracheal and tracheal (endotracheal tube or tracheostomy) suctioning.
Make patient rounds regularly. Observe patient, check equipment, and change/make adjustments as necessary. Solve problems. Discontinue therapy as ordered. Remove equipment from patient rooms, disassemble, etc.

WORK CONDITIONS/HOURS
12-hour shifts - schedule is based on the department needs. 

MINIMUM REQUIREMENTS

High school diploma or GED
Permanently licensed by the Idaho State Board of Medicine as a Respiratory Care Practitioner (RCP
Registered by the National Board for Respiratory Care (NBRC); If registry eligible, must obtain registry within one (1)-year of hire date
2-years' experience in the adult critical care setting within the last 5-years; ICU experience within the last 3-years
BLS
PALS - completed within three (3)-months of hire date
ACLS - completed within three (3)-months of hire date
NRP - completed within one (1)-year of hire date

Scion Health considers a consistently positive, cooperative, self-motivated, courteous, and professional attitude to be an essential function of every position. While different positions have different primary areas of responsibility, everyone needs to work as a team, and we expect all employees to roll up their sleeves and pitch in as necessary to get the job done.
Employees must be able to relate to other people beyond giving and receiving instructions: (a) can get along with co-workers or peers without exhibiting behavioral extremes, (b) perform work activities requiring negotiating, instructing, supervising, persuading, or speaking with others; and (c) respond appropriately to constructive feedback from a supervisor.

While this job description is intended to be an accurate reflection of the requirements of the job, management reserves the right to add or remove duties from particular jobs when circumstances (e.g., emergencies, changes in workload, rush jobs or technological developments) dictate.","In 1901, the Sisters of St. Joseph of Belvidere, Ill. agreed to establish a hospital in Lewiston, Idaho. On Feb. 8, 1902, St. Joseph Hospital opened in a seven-room frame house. Despite the rugged conditions and limited space, the community recognized the need for a larger hospital and banded together to build and open a 50-bed facility in 1903.

Today, you can find that same commitment and dedication at St. Joseph Regional Medical Center. St. Joe's remains a leader in healthcare and is the largest full-service medical center between Boise and Spokane.

Our Employees Are...
St. Joseph employees strive to provide phenomenal service. It's more than just a goal—it's a feeling. We realize that hospitals can be a scary place for some, but we will be there every step of the way. We have the information, the tools, and the people to make our patients better and help them get back to their normal life. St. Joseph continues its commitment to the people of our region and to our community. The same spirit that those pioneer sisters brought to Lewiston is alive today as we continue the sisters' philosophy and mission.

Our Providers Are...
Our physicians at St. Joseph are here to help you get the very best out of life. From the newest MRI technology to a full range of other treatments, procedures, and capabilities, the people at St. Joseph have more tools and more ways to make our patients better and to help them get back to living.
CORPORATE CULTURE URL
https://www.sjrmc.org/about",DENTAL INSURANCE MEDICAL INSURANCE VISION INSURANCE LIFE INSURANCE RETIREMENT EQUITY PAID TIME OFF OTHER,"1
Must be permanently licensed by the Idaho State Board of Medicine as a Respiratory Care Practitioner
2
Minimum 2-years' experience in the adult critical care setting within the last 5-years;
3
 ICU experience within the last 3-years
4
Registered by the National Board for Respiratory Care (NBRC).  If Registry eligible must obtain Registry within 1 year of hire date.
5
Ability to manage themselves as staff are not closely supervised.  The Department Director, Day Supervisor, Evening Supervisor or Clinical Coordinator are the line of responsibility."
Jackson Purchase Medical Center,"$13,500",Echo Tech,80djvgwli157,Junior,Director of Cardio,This is a newly opened position,3,Travel not required,Some visa sponsorships supported,"Yes, they must report in-person to a specific location",United States of America,Mayfield,KY,42066,$ USD,"$50,000.00","$100,000.00",Negotiable,None,Associate's degree in related field of study.,"Description

Summary:
The Cardiovascular Ultrasound Technician is responsible for performing various non-invasive cardiovascular procedures and functions under the direction of the Director of Cardiovascular Services. The technician is expected to function in an expedient and professional manner and to display positive behavior when interacting with patients, family members, physicians and co-workers.

Requirements:
Educational training in Non-invasive Cardiology areas; basic arrhythmia and advanced arrhythmia training preferred.
Registry eligible for registered diagnostic cardiac sonographer (RDCS) or registered cardiac sonographer (RCS)
Successfully complete national certification exam and become registered for one of the certification listed below within 6 months from date of hire:
                   i. Registered Diagnostic Cardiac Sonographer (RDCS) granted by ARDMS
                 ii. Registered Cardiac Sonographer (RCS) granted by CCI","A part of LifePoint Health, Jackson Purchase Medical Center is a 107-bed (all private), Joint Commission-accredited facility. The hospital is the sole provider of acute care in Graves County and has been serving patients from the eight counties of the Jackson Purchase since 1993. From emergent to elective, our facility offers a wide variety of inpatient and outpatient services, including those offered at the New Beginnings Birthing Center, the Advanced Healing Wound Care Center and our accredited chest pain center.

Through incredible teamwork and a medical staff beyond what you typically find in a small town, Jackson Purchase Medical Center aims to deliver the best healthcare available in the greater Western Kentucky region. As we seek to achieve our mission of making communities healthier®, we treat you like family because you are family. 

The hospital features a modern design that is more functional than older hospitals and more easily accommodating of new medical technologies. Also, the design boasts a more efficient patient traffic flow and better coordination of services. For a full list of our services, click here.

Making communities healthier

Located in Mayfield, Kentucky, Jackson Purchase Medical Center is in the heart of the Jackson Purchase--the land purchased by President Andrew Jackson from the Chickasaw Indians in 1818. The region, which is nestled between the Mississippi, Ohio and Tennessee rivers includes Hickman, Calloway, Graves, McCracken, Marshall, Ballard, Fulton and Carlisle counties. Jackson Purchase Medical Center works to make these communities healthier by providing quality care close to home. This care includes an abundance of services rarely found in a hospital of this size, including advanced procedures and surgeries. ",DENTAL INSURANCE MEDICAL INSURANCE VISION INSURANCE LIFE INSURANCE RETIREMENT PAID TIME OFF,"1
Associate's degree in related field of study.
2
Current Cardiovascular Technologist license to practice in KY
3
Ability to work from site within Mayfield, Kentucky"
